room,day,start,end
102,Mo,6:00PM,8:50PM
102,Th,6:00PM,8:50PM
102,Tu,6:00PM,8:50PM
102,We,6:00PM,8:50PM
110,Mo,6:00PM,8:50PM
110,Th,6:00PM,8:50PM
110,Tu,6:00PM,8:50PM
110,We,6:00PM,8:50PM
116,Mo,6:00PM,8:50PM
116,Th,6:00PM,8:50PM
116,Tu,6:00PM,8:50PM
116,Tu,6:00PM,9:50PM
116,We,6:00PM,8:50PM
201,Mo,6:00PM,8:50PM
201,Th,6:00PM,8:50PM
201,Tu,6:00PM,8:50PM
201,We,6:00PM,8:50PM
202,Mo,5:30PM,8:20PM
202,Th,6:00PM,8:50PM
202,Tu,6:00PM,8:50PM
202,TuTh,3:00PM,4:15PM
202,We,6:00PM,8:50PM
202,Fr,6:00PM,8:50PM
202,Mo,6:00PM,8:50PM
202,TuTh,4:30PM,5:45PM
202,We,5:30PM,8:20PM
203,Mo,6:00PM,8:50PM
203,Th,6:00PM,8:50PM
203,Tu,6:00PM,8:50PM
203,We,5:30PM,8:20PM
204,Mo,6:00PM,8:50PM
204,Th,6:00PM,8:50PM
204,Tu,6:00PM,8:50PM
204,We,6:00PM,8:50PM
221,Mo,6:00PM,8:50PM
221,Th,6:00PM,8:50PM
221,Tu,6:00PM,8:50PM
221,We,6:00PM,8:50PM
222,Mo,6:00PM,8:50PM
222,Th,6:00PM,8:50PM
222,Tu,6:00PM,8:50PM
222,We,6:00PM,8:50PM
301,Mo,6:00PM,8:50PM
301,Th,6:00PM,8:50PM
301,Tu,6:00PM,8:50PM
301,We,5:30PM,7:20PM
301,We,7:30PM,9:20PM
302,Mo,6:00PM,8:50PM
302,Th,4:30PM,5:45PM
302,Th,6:00PM,8:50PM
302,Tu,6:00PM,8:50PM
302,We,6:00PM,8:50PM
303,Tu,6:00PM,8:50PM
304,Mo,6:00PM,8:50PM
304,Th,6:00PM,8:50PM
304,Tu,6:00PM,8:50PM
304,We,6:00PM,8:50PM
305,Th,5:30PM,8:20PM
305,Tu,6:00PM,8:50PM
305,We,6:00PM,8:50PM
322,Mo,6:00PM,8:50PM
322,MoWe,4:30PM,5:50PM
322,Th,6:00PM,8:50PM
322,Tu,6:00PM,8:50PM
322,TuTh,4:30PM,5:50PM
322,We,6:00PM,8:50PM
102,MoWe,1:00PM,5:00PM
102,MoWe,9:00AM,10:30AM
102,MoWe,7:00PM,8:00PM
202B,MoWeFr,10:30AM,11:20AM
202B,TuTh,3:00PM,4:15PM
202B,TuTh,12:00PM,1:15PM
202B,MoWeFr,11:30AM,12:20PM
202B,TuTh,4:30PM,5:45PM
202B,TuTh,1:30PM,2:45PM
202B,TuTh,10:30AM,11:45AM
304,Mo,10:30AM,1:20PM
